id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,34.52,5179148191,35,7281109298,384177388,37.24,34.15,-1.7227108514277418,-4.75317,-247780613.03224373,-4.56576,149873663.3604233,210700000.0,210700000.0,167.09,-79.2816,2021-05-06T18:34:22.133Z,0.615038,5528.49951,2016-07-25T00:00:00.000Z,"{'times': 75.71261607943869, 'currency': 'usd', 'percentage': 7571.2616079438685}",2024-12-09T10:25:33.388Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.185247,5027692802,36,5560115327,48673909,0.201488,0.183416,-0.01267258779670552,-6.40289,-337405513.4216261,-6.2889,27127276181.69817,30000000000.0,,0.965407,-80.76111,2021-11-24T15:53:54.855Z,0.0121196,1432.50648,2019-02-08T00:00:00.000Z,,2024-12-09T10:25:32.082Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.061407,4979014439,37,5286417779,233206677,0.069871,0.06025,-0.005680276626339215,-8.46699,-463457772.4208422,-8.51557,80985041177.0,85985041177.0,86712634466.0,0.280991,-78.1096,2021-04-19T01:08:21.675Z,0.00191713,3108.44006,2020-03-13T02:29:59.652Z,"{'times': 4.551409332291455, 'currency': 'eth', 'percentage': 455.14093322914556}",2024-12-09T10:25:33.213Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,9.6,4972931435,38,5114717488,276893121,10.32,9.45,-0.4649927266646099,-4.61835,-236721858.41392136,-4.54391,517690758.8754916,532450932.1554916,,13.53,-29.11293,2024-03-17T16:30:24.636Z,0.03665669,26073.52231,2020-06-16T13:22:25.900Z,,2024-12-09T10:25:28.242Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.89,4929385564,39,5136262027,556190767,2.08,1.87,-0.14216343161805267,-7.00483,-376912289.9778795,-7.10311,2609959126.672,2719493896.672,2719493896.672,3.45,-45.26764,2024-03-28T17:21:18.050Z,0.00816959,23041.1413,2020-03-13T02:24:18.347Z,"{'times': 20.768661398464833, 'currency': 'usd', 'percentage': 2076.8661398464833}",2024-12-09T10:25:33.852Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,662.37,4895439679,40,13928182212,305641417,712.97,660.69,-21.201539029745277,-3.10157,-150145419.6015129,-2.97578,7381023.0,21000000.0,21000000.0,757.6,-12.47758,2024-03-07T18:45:36.466Z,30.83,2050.74541,2023-05-14T08:57:53.732Z,,2024-12-09T10:25:31.008Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.179102,4540100107,41,4540595067,263425791,0.188762,0.178814,-0.001774910196829238,-0.98128,-36921840.62711811,-0.80668,25316411325.91227,25319171311.75663,28704026601.0,0.207411,-13.5346,2024-08-01T00:40:47.164Z,0.00017105,104746.06318,2022-05-26T14:42:59.316Z,,2024-12-09T10:25:34.146Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,1.075,4415229798,42,10775792205,773961866,1.16,1.062,-0.06881638217562447,-6.01574,-271605272.97688866,-5.79507,4097359817.0,10000000000.0,10000000000.0,2.39,-54.98552,2024-01-12T12:29:59.231Z,0.431578,149.3118,2024-08-05T11:35:54.024Z,,2024-12-09T10:25:30.855Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,13.06,4364882064,43,13071194298,149727735,14.49,12.46,-0.8221513485870258,-5.92206,-196503735.8243332,-4.30798,333928180.0,999990391.0,1000000000.0,14.99,-16.84546,2024-12-07T05:30:58.759Z,3.81,227.26842,2024-11-29T09:30:30.871Z,,2024-12-09T10:25:33.542Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,7.12,4343061398,44,13970680841,741622639,7.9,7.08,-0.5275904673742051,-6.89435,-317166676.2182369,-6.80582,609232265.0,1959767259.0,1959768109.0,236.84,-96.9909,2021-04-01T13:29:41.564Z,2.64,169.85419,2022-12-16T22:45:28.552Z,,2024-12-09T10:25:34.197Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,264.59,3971326311,45,4233405538,584255186,284.46,262.2,-14.794805874526332,-5.29553,-222589854.7190714,-5.30745,15009481.233084202,16000000.0,16000000.0,661.69,-59.98113,2021-05-18T21:19:59.514Z,26.02,917.55904,2020-11-05T09:20:11.928Z,,2024-12-09T10:25:29.403Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.469518,3903900783,46,3903900815,506641265,0.511881,0.463845,-0.02306462156495387,-4.68239,-189163859.89321423,-4.62157,8304651006.618597,8304651075.648443,10000000000.0,3.56,-86.69266,2019-06-20T14:51:19.480Z,0.087513,441.51048,2023-09-11T19:42:08.247Z,"{'times': -0.8043676888118704, 'currency': 'usd', 'percentage': -80.43676888118704}",2024-12-09T10:25:28.591Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,1.15,3870884700,47,7150398004,263247388,1.34,1.15,-0.0502687589858093,-4.19254,-165975233.12836027,-4.11149,3366841707.83684,6219316794.99,6219316794.99,1.54,-25.34435,2024-04-08T09:45:25.482Z,0.307978,272.99355,2023-10-18T02:50:46.942Z,,2024-12-09T10:25:25.467Z
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,4.03,3802504138,48,7229690234,181018448,4.22,3.92,-0.02797423773284979,-0.68934,-25113275.52969265,-0.65611,943120918.1399995,1793153102.09,,4.45,-9.28279,2024-11-18T04:21:01.946Z,0.01726188,23295.27318,2023-10-12T17:25:09.068Z,,2024-12-09T10:25:27.700Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,2.47,3711116976,49,3711190504,276403764,2.72,2.42,-0.11886305243250427,-4.59596,-173076747.25216293,-4.45592,1503975888.9291,1504005686.82077,1818000000.0,3.86,-35.99645,2024-04-01T12:34:58.342Z,0.04559639,5324.33982,2020-03-13T02:29:26.415Z,"{'times': 19.561566307242725, 'currency': 'usd', 'percentage': 1956.1566307242724}",2024-12-09T10:25:30.477Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,9.38,3665825450,50,3668092993,375090773,10.4,9.26,-0.6764777592169473,-6.72764,-259926233.01737118,-6.62106,390688369.813272,390930035.085365,,44.45,-78.84644,2022-01-17T00:34:41.497Z,1.16,710.50547,2020-03-13T02:27:44.591Z,"{'times': 92.78719923227507, 'currency': 'usd', 'percentage': 9278.719923227507}",2024-12-09T10:25:34.393Z
