,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
14,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,90200.0,13235489472,15,13235489472,163520532.0,91154.0,89466.0,-117.70342096340028,-0.13032,-29639978.89089775,-0.22344,146734.42599595,146734.42599595,146734.42599595,92913.0,-3.05002,2024-11-13T18:55:22.275Z,3139.17,2769.50831,2019-04-02T00:00:00.000Z,,2024-11-17T15:38:07.691Z,-
108,solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,https://coin-images.coingecko.com/coins/images/39384/large/unnamed.png?1721961640,89990.0,906174169,109,906174169,869265.0,91025.0,89124.0,-205.9601624735078,-0.22835,549766.0,0.06071,10058.68974629,10058.68974629,21000000.0,92658.0,-2.5739,2024-11-13T18:55:39.330Z,11402.13,691.71869,2024-09-10T17:58:43.974Z,,2024-11-17T15:38:20.460Z,-
243,pumpbtc,pumpbtc,pumpBTC,https://coin-images.coingecko.com/coins/images/39232/large/200pxPumpBTCLogo.png?1721227861,89967.0,329495633,245,329495633,858163.0,90896.0,88785.0,-213.9491758199292,-0.23724,-511082.7667400241,-0.15487,3662.40038397,3662.40038397,,92770.0,-3.08231,2024-11-13T16:15:26.858Z,48890.0,83.903,2024-08-05T13:31:21.320Z,,2024-11-17T15:38:18.012Z,-
84,maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1492.92,1314228384,85,1359470662,144650255.0,1554.07,1470.1,-15.066130512867176,-0.99909,-15129538.888388872,-1.13811,880778.582815231,911099.362612178,1005577.0,6292.31,-76.32629,2021-05-03T21:54:29.333Z,168.36,784.79811,2020-03-16T20:52:36.527Z,,2024-11-17T15:38:13.069Z,-
78,mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3242.54,1485817948,78,1485817948,24208492.0,3338.62,3173.78,-39.18728748517697,-1.1941,-27232846.757194996,-1.79986,458427.211908395,458427.211908395,,4729.53,-31.4972,2024-03-27T05:26:27.333Z,2142.02,51.25274,2023-12-18T10:41:32.686Z,,2024-11-17T15:38:13.130Z,-
53,aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,165.31,2474483272,54,2643352088,347467387.0,171.82,161.8,-2.106402580710437,-1.25815,-38551018.01236057,-1.53404,14977850.483438322,16000000.0,16000000.0,661.69,-75.04426,2021-05-18T21:19:59.514Z,26.02,534.549,2020-11-05T09:20:11.928Z,,2024-11-17T15:38:21.067Z,-
36,bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,506.67,3734597072,37,10625429363,170228367.0,529.85,490.74,-6.71391680313144,-1.30776,-70309691.1530838,-1.84787,7381023.0,21000000.0,21000000.0,757.6,-33.43204,2024-03-07T18:45:36.466Z,30.83,1535.81797,2023-05-14T08:57:53.732Z,,2024-11-17T15:38:15.747Z,-
214,stader-ethx,ethx,Stader ETHx,https://coin-images.coingecko.com/coins/images/30870/large/staderx.png?1696529717,3235.2,387487597,215,387487597,189450.0,3317.37,3189.43,-45.03281971988599,-1.37285,-6206090.025013924,-1.57638,119938.993355789,119938.993355789,,4143.4,-22.04759,2024-03-13T08:36:12.483Z,1537.24,110.10863,2023-10-12T17:37:32.660Z,,2024-11-17T15:38:20.670Z,-
8,staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3092.51,30227807791,9,30229561361,106051153.0,3179.64,3039.81,-49.85697870435433,-1.5866,-568148014.2757149,-1.84488,9784789.13631837,9785356.76977935,,4829.57,-36.01446,2021-11-10T14:40:47.256Z,482.9,539.93603,2020-12-22T04:08:21.854Z,,2024-11-17T15:38:20.800Z,-
1,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3095.02,372582304366,2,372582304366,26735448750.0,3182.3,3048.58,-50.03818339193003,-1.59101,-6826593539.600403,-1.79927,120422508.5519,120422508.5519,,4878.26,-36.64869,2021-11-10T14:24:19.604Z,0.432979,713662.79037,2015-10-20T00:00:00.000Z,"{'times': 44.72692472091019, 'currency': 'btc', 'percentage': 4472.692472091019}",2024-11-17T15:38:20.511Z,-
65,binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3092.88,1872651561,66,1872651561,83994383.0,3182.87,3046.59,-50.44561183173619,-1.60485,-33215097.02303791,-1.74278,604999.999959841,604999.999959841,,3437.12,-10.0609,2024-11-12T09:22:30.621Z,2171.8,42.33888,2024-09-06T21:02:52.910Z,,2024-11-17T15:38:15.844Z,-
183,frax-ether,frxeth,Frax Ether,https://coin-images.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,3086.01,477223953,184,477223953,2128192.0,3174.54,2937.98,-51.27243180281312,-1.6343,-10485104.290611207,-2.14987,154713.779227451,154713.779227451,,4062.68,-24.14638,2024-03-12T00:44:25.688Z,1137.25,170.97747,2022-11-23T02:25:33.267Z,,2024-11-17T15:38:19.923Z,-
225,staked-frax-ether,sfrxeth,Staked Frax Ether,https://coin-images.coingecko.com/coins/images/28285/large/sfrxETH_icon.png?1696527285,3417.93,363499324,226,363499324,929997.0,3510.71,3381.17,-57.38034416981964,-1.65109,-6797028.277756095,-1.83556,106502.507351218,106502.507351218,,7545.09,-54.7587,2023-02-16T07:51:36.849Z,1147.58,197.45077,2022-12-23T11:50:57.675Z,,2024-11-17T15:38:20.805Z,-
79,renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,3167.4,1412868752,80,1412868752,7456724.0,3259.22,3124.65,-53.36177176597721,-1.65681,-24712371.124894142,-1.71902,446517.697429896,446517.697429896,,4106.74,-22.9367,2024-03-12T00:44:29.429Z,2198.04,43.98244,2024-01-26T08:09:59.848Z,,2024-11-17T15:38:18.603Z,-
199,l2-standard-bridged-weth-blast,weth,L2 Standard Bridged WETH (Blast),https://coin-images.coingecko.com/coins/images/39727/large/weth.png?1723758119,3094.11,412337251,200,412337251,2171751.0,3184.37,3046.77,-52.401086248974025,-1.66537,-9273630.86392784,-2.19957,133324.072233355,133324.072233355,,3410.45,-9.36587,2024-11-12T09:01:13.336Z,2167.33,42.61938,2024-09-06T21:14:57.012Z,,2024-11-17T15:38:12.259Z,-
